Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,98.082001,98.281998,98.082001,98.082001,98.082001,0
2015-01-02,98.183998,98.691002,97.272003,98.225998,98.225998,0
2015-01-05,96.850998,97.002998,96.176003,96.988998,96.988998,0
2015-01-06,96.552002,96.839996,95.967003,96.546997,96.546997,0
2015-01-07,96.059998,96.250999,95.277000,96.125000,96.125000,0
2015-01-08,95.480003,95.570999,93.912003,95.490997,95.490997,0
2015-01-09,94.446999,94.564003,93.709999,94.459999,94.459999,0
2015-01-12,94.306000,94.373001,93.763000,94.514000,94.514000,0
2015-01-13,94.071999,94.339996,93.472000,94.059998,94.059998,0
2015-01-14,93.910004,94.772003,93.767998,93.914001,93.914001,0
2015-01-15,94.486000,94.728996,93.225998,94.483002,94.483002,0
2015-01-16,94.128998,94.458000,93.046997,94.111000,94.111000,0
2015-01-19,93.611000,93.711998,93.105003,93.864998,93.864998,0
2015-01-20,92.910004,93.805000,92.720001,92.916000,92.916000,0
2015-01-21,93.276001,93.521004,92.753998,93.277000,93.277000,0
2015-01-22,93.135002,93.714996,92.589996,93.121002,93.121002,0
2015-01-23,92.338997,92.455002,91.722000,92.369003,92.369003,0
2015-01-26,91.992996,92.622002,91.986000,91.942001,91.942001,0
2015-01-27,92.637001,93.286003,92.403000,92.636002,92.636002,0
2015-01-28,93.167000,93.398003,92.875999,93.153000,93.153000,0
2015-01-29,92.777000,93.677002,92.777000,92.810997,92.810997,0
2015-01-30,93.176003,93.594002,92.862999,93.082001,93.082001,0
2015-02-02,93.530998,93.542999,92.625000,93.429001,93.429001,0
2015-02-03,92.809998,93.219002,92.448997,92.658997,92.658997,0
2015-02-04,93.296997,94.257004,93.183998,93.182999,93.182999,0
2015-02-05,93.905998,94.526001,93.745003,93.880997,93.880997,0
2015-02-06,94.672997,94.754997,94.177002,94.495003,94.495003,0
2015-02-09,94.431000,94.973000,94.274002,94.457001,94.457001,0
2015-02-10,94.473000,95.019997,94.254997,94.441002,94.441002,0
2015-02-11,95.125999,95.406998,94.579002,95.137001,95.137001,0
2015-02-12,95.056999,95.781998,94.605003,94.995003,94.995003,0
2015-02-13,95.681999,95.848999,95.292999,95.580002,95.580002,0
2015-02-16,95.417999,96.133003,95.401001,95.583000,95.583000,0
2015-02-17,95.456001,95.805000,95.079002,95.393997,95.393997,0
2015-02-18,95.401001,96.231003,95.279999,95.252998,95.252998,0
2015-02-19,95.706001,96.106003,95.632004,95.718002,95.718002,0
2015-02-20,95.766998,96.112999,95.376999,95.754997,95.754997,0
2015-02-23,95.514000,95.996002,95.350998,95.526001,95.526001,0
2015-02-24,96.056999,96.327003,95.656998,95.958000,95.958000,0
2015-02-25,96.280998,96.375000,95.731003,96.153999,96.153999,0
2015-02-26,96.172997,96.418999,95.011002,95.986000,95.986000,0
2015-02-27,95.086998,95.547997,94.449997,95.105003,95.105003,0
2015-03-02,95.002998,95.596001,94.897003,95.032997,95.032997,0
2015-03-03,95.045998,95.255997,94.878998,94.947998,94.947998,0
2015-03-04,94.891998,95.597000,94.680000,94.863998,94.863998,0
2015-03-05,95.094002,95.154999,94.588997,94.994003,94.994003,0
2015-03-06,95.152000,95.154999,93.938004,95.110001,95.110001,0
2015-03-09,94.050003,94.746002,93.924004,93.857002,93.857002,0
2015-03-10,94.571999,94.879997,94.231003,94.556000,94.556000,0
2015-03-11,94.448997,94.864998,93.661003,94.456001,94.456001,0
2015-03-12,93.627998,93.885002,92.852997,93.612999,93.612999,0
2015-03-13,93.018997,93.564003,92.570999,93.031998,93.031998,0
2015-03-16,93.066002,93.134003,92.591003,92.983002,92.983002,0
2015-03-17,92.976997,93.195000,92.179001,92.980003,92.980003,0
2015-03-18,92.255997,92.597000,90.557999,92.267998,92.267998,0
2015-03-19,93.664001,94.022003,92.035004,93.696999,93.696999,0
2015-03-20,92.126999,92.970001,91.943001,92.129997,92.129997,0
2015-03-23,93.208000,93.208000,92.410004,93.310997,93.310997,0
2015-03-24,92.931999,93.154999,92.584999,92.920998,92.920998,0
2015-03-25,92.439003,93.153999,92.200996,92.280998,92.280998,0
2015-03-26,92.875000,94.036003,92.776001,92.822998,92.822998,0
2015-03-27,93.341003,93.386002,92.532997,93.241997,93.241997,0
2015-03-30,92.948997,93.157997,92.080002,92.991997,92.991997,0
2015-03-31,92.447998,92.716003,92.204002,92.468002,92.468002,0
2015-04-01,92.306000,92.752998,91.741997,92.385002,92.385002,0
2015-04-02,92.120003,92.406998,91.831001,92.112000,92.112000,0
2015-04-03,92.025002,92.293999,91.717003,92.030998,92.030998,0
2015-04-06,92.583000,93.094002,92.101997,92.581001,92.581001,0
2015-04-07,92.417000,93.018997,92.252998,92.367996,92.367996,0
2015-04-08,92.246002,93.096001,92.245003,92.262001,92.262001,0
2015-04-09,92.512001,92.649002,91.484001,92.411003,92.411003,0
2015-04-10,91.607002,91.836998,90.839996,91.602997,91.602997,0
2015-04-13,91.031998,91.431999,90.842003,91.122002,91.122002,0
2015-04-14,91.403999,92.113998,90.964996,91.394997,91.394997,0
2015-04-15,91.954002,92.289001,91.662003,91.943001,91.943001,0
2015-04-16,92.335999,93.030998,92.285004,92.414001,92.414001,0
2015-04-17,92.905998,93.797997,92.892998,92.877998,92.877998,0
2015-04-20,93.653000,94.154999,93.367996,93.481003,93.481003,0
2015-04-21,94.039001,94.096001,93.223999,94.041000,94.041000,0
2015-04-22,93.889999,94.813004,93.569000,93.792000,93.792000,0
2015-04-23,94.518997,95.307999,94.407997,94.513000,94.513000,0
2015-04-24,95.150002,96.419998,94.945999,95.149002,95.149002,0
2015-04-27,96.688004,96.760002,96.210999,96.627998,96.627998,0
2015-04-28,96.688004,96.760002,96.210999,96.627998,96.627998,0
2015-04-29,97.292999,98.071999,97.205002,96.362000,96.362000,0
2015-04-30,97.844002,98.575996,97.439003,97.873001,97.873001,0
2015-05-01,97.536003,97.536003,96.337997,97.516998,97.516998,0
2015-05-04,96.538002,96.603996,96.001999,96.153999,96.153999,0
2015-05-05,96.155998,96.394997,95.742996,96.168999,96.168999,0
2015-05-06,96.084000,97.149002,95.504997,96.096001,96.096001,0
2015-05-07,97.014999,98.003998,96.954002,97.027000,97.027000,0
2015-05-08,98.726997,99.419998,97.624001,98.768997,98.768997,0
2015-05-11,98.360001,99.719002,98.005997,98.492996,98.492996,0
2015-05-12,99.723000,100.959999,99.639000,99.713997,99.713997,0
2015-05-13,100.599998,100.779999,99.984001,100.599998,100.599998,0
2015-05-14,100.790001,100.949997,99.918999,100.779999,100.779999,0
2015-05-15,100.019997,100.330002,99.752998,100.019997,100.019997,0
2015-05-18,99.779999,100.050003,99.561996,99.754997,99.754997,0
2015-05-19,99.828003,99.836998,98.424004,99.795998,99.795998,0
2015-05-20,98.936996,99.272003,98.647003,98.960999,98.960999,0
2015-05-21,98.908997,99.911003,98.850998,98.860001,98.860001,0
2015-05-22,99.656998,99.750999,98.228996,99.667999,99.667999,0
2015-05-25,98.248001,98.640999,98.157997,98.332001,98.332001,0
2015-05-26,98.403000,98.652000,97.796997,98.352997,98.352997,0
2015-05-27,98.514000,98.845001,97.825996,98.484001,98.484001,0
2015-05-28,98.039001,98.247002,97.353996,98.041000,98.041000,0
2015-05-29,97.764000,97.938004,97.163002,97.795998,97.795998,0
2015-06-01,97.427002,97.566002,96.500999,97.461998,97.461998,0
